"","V1"
"inaug_FranklinDRoosevelt_1_65",12
"inaug_FranklinDRoosevelt_1_66",12
"inaug_FranklinDRoosevelt_1_67",12
"inaug_FranklinDRoosevelt_1_68",15
"inaug_FranklinDRoosevelt_1_69",15
"inaug_FranklinDRoosevelt_1_70",15
"inaug_FranklinDRoosevelt_1_71",13
"inaug_FranklinDRoosevelt_1_72",13
"inaug_FranklinDRoosevelt_1_73",13
"inaug_FranklinDRoosevelt_1_74",13
"inaug_FranklinDRoosevelt_1_75",13
"inaug_FranklinDRoosevelt_1_76",13
"inaug_FranklinDRoosevelt_1_77",13
"inaug_FranklinDRoosevelt_1_78",13
"inaug_FranklinDRoosevelt_1_79",13
"inaug_FranklinDRoosevelt_1_80",13
"inaug_FranklinDRoosevelt_1_81",9
"inaug_FranklinDRoosevelt_1_82",9
"inaug_FranklinDRoosevelt_1_83",9
"inaug_FranklinDRoosevelt_1_84",9
"inaug_FranklinDRoosevelt_1_85",9
"inaug_FranklinDRoosevelt_1_86",9
"inaug_FranklinDRoosevelt_1_87",10
"inaug_FranklinDRoosevelt_1_88",7
"inaug_FranklinDRoosevelt_1_89",6
"inaug_FranklinDRoosevelt_1_90",6
"inaug_FranklinDRoosevelt_1_91",6
"inaug_FranklinDRoosevelt_1_92",5
"inaug_FranklinDRoosevelt_1_93",14
"inaug_FranklinDRoosevelt_1_94",7
"inaug_FranklinDRoosevelt_1_95",2
"inaug_FranklinDRoosevelt_1_96",13
"inaug_FranklinDRoosevelt_1_97",3
"inaug_FranklinDRoosevelt_1_98",4
"inaug_FranklinDRoosevelt_1_99",7
"inaug_HarrySTruman_1_2",11
"inaug_HarrySTruman_1_3",3
"inaug_HarrySTruman_1_4",10
"inaug_HarrySTruman_1_5",12
"inaug_HarrySTruman_1_6",10
"inaug_HarrySTruman_1_7",11
"inaug_HarrySTruman_1_8",11
"inaug_HarrySTruman_1_9",11
"inaug_HarrySTruman_1_10",3
"inaug_HarrySTruman_1_11",3
"inaug_HarrySTruman_1_12",3
"inaug_HarrySTruman_1_13",3
"inaug_HarrySTruman_1_14",6
"inaug_HarrySTruman_1_15",6
"inaug_HarrySTruman_1_16",6
"inaug_HarrySTruman_1_17",10
"inaug_HarrySTruman_1_18",10
"inaug_HarrySTruman_1_19",6
"inaug_HarrySTruman_1_20",6
"inaug_HarrySTruman_1_21",6
"inaug_HarrySTruman_1_22",8
"inaug_HarrySTruman_1_23",8
"inaug_HarrySTruman_1_24",8
"inaug_HarrySTruman_1_25",8
"inaug_HarrySTruman_1_26",8
"inaug_HarrySTruman_1_27",8
"inaug_HarrySTruman_1_28",8
"inaug_HarrySTruman_1_29",3
"inaug_HarrySTruman_1_30",6
"inaug_HarrySTruman_1_31",2
"inaug_HarrySTruman_1_32",2
"inaug_HarrySTruman_1_33",2
"inaug_HarrySTruman_1_34",5
"inaug_HarrySTruman_1_35",3
"inaug_HarrySTruman_1_36",3
"inaug_HarrySTruman_1_37",3
"inaug_HarrySTruman_1_38",3
"inaug_HarrySTruman_1_39",3
"inaug_HarrySTruman_1_40",8
"inaug_HarrySTruman_1_41",3
"inaug_HarrySTruman_1_42",9
"inaug_HarrySTruman_1_43",7
"inaug_HarrySTruman_1_44",12
"inaug_HarrySTruman_1_45",12
"inaug_HarrySTruman_1_46",12
"inaug_HarrySTruman_1_47",12
"inaug_HarrySTruman_1_48",12
"inaug_HarrySTruman_1_49",12
"inaug_HarrySTruman_1_50",8
"inaug_HarrySTruman_1_51",12
"inaug_HarrySTruman_1_52",8
"inaug_HarrySTruman_1_53",8
"inaug_HarrySTruman_1_54",4
"inaug_HarrySTruman_1_55",12
"inaug_HarrySTruman_1_56",12
"inaug_HarrySTruman_1_57",12
"inaug_HarrySTruman_1_58",12
"inaug_HarrySTruman_1_59",12
"inaug_HarrySTruman_1_60",12
"inaug_HarrySTruman_1_61",12
"inaug_HarrySTruman_1_62",12
"inaug_HarrySTruman_1_63",12
"inaug_HarrySTruman_1_64",8
"inaug_HarrySTruman_1_65",12
"inaug_HarrySTruman_1_66",8
"inaug_HarrySTruman_1_67",12
"inaug_HarrySTruman_1_68",12
"inaug_HarrySTruman_1_69",12
"inaug_HarrySTruman_1_70",4
"inaug_HarrySTruman_1_71",4
"inaug_HarrySTruman_1_72",4
"inaug_HarrySTruman_1_73",4
"inaug_HarrySTruman_1_74",4
"inaug_HarrySTruman_1_75",4
"inaug_HarrySTruman_1_76",4
"inaug_HarrySTruman_1_77",4
"inaug_HarrySTruman_1_78",8
"inaug_HarrySTruman_1_79",8
"inaug_HarrySTruman_1_80",5
"inaug_HarrySTruman_1_81",3
"inaug_HarrySTruman_1_82",3
"inaug_HarrySTruman_1_83",8
"inaug_HarrySTruman_1_84",8
"inaug_HarrySTruman_1_85",8
"inaug_HarrySTruman_1_86",8
"inaug_HarrySTruman_1_87",8
"inaug_HarrySTruman_1_88",8
"inaug_HarrySTruman_1_89",8
"inaug_HarrySTruman_1_90",8
"inaug_HarrySTruman_1_91",12
"inaug_HarrySTruman_1_92",12
"inaug_HarrySTruman_1_93",8
"inaug_HarrySTruman_1_94",8
"inaug_HarrySTruman_1_95",8
"inaug_HarrySTruman_1_96",8
"inaug_HarrySTruman_1_97",8
"inaug_HarrySTruman_1_98",8
"inaug_HarrySTruman_1_99",8
"inaug_HarrySTruman_1_100",8
"inaug_HarrySTruman_1_101",8
"inaug_HarrySTruman_1_102",8
"inaug_HarrySTruman_1_103",8
"inaug_HarrySTruman_1_104",8
"inaug_HarrySTruman_1_105",8
"inaug_HarrySTruman_1_106",8
"inaug_HarrySTruman_1_107",8
"inaug_HarrySTruman_1_108",10
"inaug_HarrySTruman_1_109",10
"inaug_HarrySTruman_1_110",10
"inaug_HarrySTruman_1_111",6
"inaug_HarrySTruman_1_112",6
"inaug_HarrySTruman_1_113",3
"inaug_HarrySTruman_1_114",3
"inaug_HarrySTruman_1_115",3
"inaug_HarrySTruman_1_116",11
"inaug_HarrySTruman_1_117",3
"inaug_HarrySTruman_1_118",3
"inaug_HarrySTruman_1_119",3
"inaug_JohnFKennedy_1_2",11
"inaug_JohnFKennedy_1_3",11
"inaug_JohnFKennedy_1_4",11
"inaug_JohnFKennedy_1_5",3
"inaug_JohnFKennedy_1_6",3
"inaug_JohnFKennedy_1_7",3
"inaug_JohnFKennedy_1_8",13
"inaug_JohnFKennedy_1_9",13
"inaug_JohnFKennedy_1_10",13
"inaug_JohnFKennedy_1_11",13
"inaug_JohnFKennedy_1_12",8
"inaug_JohnFKennedy_1_13",11
"inaug_JohnFKennedy_1_14",13
"inaug_JohnFKennedy_1_15",13
"inaug_JohnFKennedy_1_16",13
"inaug_JohnFKennedy_1_17",8
"inaug_JohnFKennedy_1_18",8
"inaug_JohnFKennedy_1_19",8
"inaug_JohnFKennedy_1_20",13
"inaug_JohnFKennedy_1_21",13
"inaug_JohnFKennedy_1_22",13
"inaug_JohnFKennedy_1_23",13
"inaug_JohnFKennedy_1_24",13
"inaug_JohnFKennedy_1_25",13
"inaug_JohnFKennedy_1_26",13
"inaug_JohnFKennedy_1_27",13
"inaug_JohnFKennedy_1_28",13
"inaug_JohnFKennedy_1_29",13
"inaug_JohnFKennedy_1_30",13
"inaug_JohnFKennedy_1_31",13
"inaug_JohnFKennedy_1_32",13
"inaug_JohnFKennedy_1_33",13
"inaug_JohnFKennedy_1_34",13
"inaug_JohnFKennedy_1_35",13
"inaug_JohnFKennedy_1_36",13
"inaug_JohnFKennedy_1_38",13
"inaug_JohnFKennedy_1_39",13
"inaug_JohnFKennedy_1_40",13
"inaug_JohnFKennedy_1_41",3
"inaug_JohnFKennedy_1_42",3
"inaug_JohnFKennedy_1_43",11
"inaug_JohnFKennedy_1_44",11
"inaug_JohnFKennedy_1_45",11
"inaug_JohnFKennedy_1_46",11
"inaug_JohnFKennedy_1_47",11
"inaug_JohnFKennedy_1_48",8
"inaug_JohnFKennedy_1_49",13
"inaug_JohnFKennedy_1_50",3
"inaug_JohnFKennedy_1_51",3
"inaug_JohnFKennedy_1_52",8
"inaug_JohnFKennedy_1_53",11
"inaug_JohnFKennedy_1_54",11
"inaug_JohnFKennedy_1_55",11
"inaug_LyndonBJohnson_1_2",3
"inaug_LyndonBJohnson_1_3",15
"inaug_LyndonBJohnson_1_4",15
"inaug_LyndonBJohnson_1_5",11
"inaug_LyndonBJohnson_1_6",11
"inaug_LyndonBJohnson_1_7",6
"inaug_LyndonBJohnson_1_8",6
"inaug_LyndonBJohnson_1_9",6
"inaug_LyndonBJohnson_1_10",12
"inaug_LyndonBJohnson_1_11",12
"inaug_LyndonBJohnson_1_12",11
"inaug_LyndonBJohnson_1_13",11
"inaug_LyndonBJohnson_1_14",11
"inaug_LyndonBJohnson_1_15",4
"inaug_LyndonBJohnson_1_16",14
"inaug_LyndonBJohnson_1_17",1
"inaug_LyndonBJohnson_1_18",8
"inaug_LyndonBJohnson_1_19",6
"inaug_LyndonBJohnson_1_20",8
"inaug_LyndonBJohnson_1_21",8
"inaug_LyndonBJohnson_1_22",8
"inaug_LyndonBJohnson_1_23",8
"inaug_LyndonBJohnson_1_24",8
"inaug_LyndonBJohnson_1_25",8
"inaug_LyndonBJohnson_1_26",11
"inaug_LyndonBJohnson_1_27",11
"inaug_LyndonBJohnson_1_28",11
"inaug_LyndonBJohnson_1_29",11
"inaug_LyndonBJohnson_1_30",4
"inaug_LyndonBJohnson_1_31",1
"inaug_LyndonBJohnson_1_32",15
"inaug_LyndonBJohnson_1_33",13
"inaug_LyndonBJohnson_1_34",11
"inaug_LyndonBJohnson_1_35",11
"inaug_LyndonBJohnson_1_36",11
"inaug_LyndonBJohnson_1_37",11
"inaug_LyndonBJohnson_1_38",11
"inaug_LyndonBJohnson_1_39",11
"inaug_LyndonBJohnson_1_40",11
"inaug_LyndonBJohnson_1_41",11
"inaug_LyndonBJohnson_1_42",11
"inaug_LyndonBJohnson_1_43",11
"inaug_LyndonBJohnson_1_44",11
"inaug_LyndonBJohnson_1_45",11
"inaug_LyndonBJohnson_1_46",13
"inaug_LyndonBJohnson_1_47",14
"inaug_LyndonBJohnson_1_48",14
"inaug_LyndonBJohnson_1_49",12
"inaug_LyndonBJohnson_1_50",12
"inaug_LyndonBJohnson_1_51",3
"inaug_LyndonBJohnson_1_52",8
"inaug_LyndonBJohnson_1_53",8
"inaug_LyndonBJohnson_1_54",12
"inaug_LyndonBJohnson_1_55",12
"inaug_LyndonBJohnson_1_56",12
"inaug_LyndonBJohnson_1_57",10
"inaug_LyndonBJohnson_1_58",3
"inaug_LyndonBJohnson_1_59",6
"inaug_LyndonBJohnson_1_60",11
"inaug_LyndonBJohnson_1_61",11
"inaug_LyndonBJohnson_1_62",11
"inaug_LyndonBJohnson_1_63",11
"inaug_LyndonBJohnson_1_64",11
"inaug_LyndonBJohnson_1_65",12
"inaug_LyndonBJohnson_1_66",11
"inaug_LyndonBJohnson_1_67",11
"inaug_LyndonBJohnson_1_68",6
"inaug_LyndonBJohnson_1_69",3
"inaug_LyndonBJohnson_1_70",3
"inaug_LyndonBJohnson_1_71",6
"inaug_LyndonBJohnson_1_72",7
"inaug_LyndonBJohnson_1_73",7
"inaug_LyndonBJohnson_1_74",7
"inaug_LyndonBJohnson_1_75",12
"inaug_LyndonBJohnson_1_76",12
"inaug_LyndonBJohnson_1_77",12
"inaug_LyndonBJohnson_1_78",3
"inaug_LyndonBJohnson_1_79",12
"inaug_LyndonBJohnson_1_80",3
"inaug_LyndonBJohnson_1_81",8
"inaug_LyndonBJohnson_1_82",11
"inaug_LyndonBJohnson_1_83",11
"inaug_LyndonBJohnson_1_84",11
"inaug_LyndonBJohnson_1_85",11
"inaug_LyndonBJohnson_1_86",1
"inaug_LyndonBJohnson_1_87",4
"inaug_LyndonBJohnson_1_88",5
"inaug_LyndonBJohnson_1_89",5
"inaug_LyndonBJohnson_1_90",5
"inaug_LyndonBJohnson_1_91",3
"inaug_LyndonBJohnson_1_92",3
"inaug_LyndonBJohnson_1_93",8
"inaug_LyndonBJohnson_1_94",10
"inaug_LyndonBJohnson_1_95",8
"inaug_LyndonBJohnson_1_96",8
"inaug_JimmyCarter_1_2",3
"inaug_JimmyCarter_1_3",3
"inaug_JimmyCarter_1_4",3
"inaug_JimmyCarter_1_5",3
"inaug_JimmyCarter_1_6",3
"inaug_JimmyCarter_1_7",3
"inaug_JimmyCarter_1_8",3
"inaug_JimmyCarter_1_9",11
"inaug_JimmyCarter_1_10",11
"inaug_JimmyCarter_1_11",11
"inaug_JimmyCarter_1_12",3
"inaug_JimmyCarter_1_13",2
"inaug_JimmyCarter_1_14",11
"inaug_JimmyCarter_1_15",11
"inaug_JimmyCarter_1_16",11
"inaug_JimmyCarter_1_17",11
"inaug_JimmyCarter_1_18",8
"inaug_JimmyCarter_1_19",8
"inaug_JimmyCarter_1_20",13
"inaug_JimmyCarter_1_21",15
"inaug_JimmyCarter_1_22",13
"inaug_JimmyCarter_1_23",6
"inaug_JimmyCarter_1_24",6
"inaug_JimmyCarter_1_25",6
"inaug_JimmyCarter_1_26",6
"inaug_JimmyCarter_1_27",1
"inaug_JimmyCarter_1_28",1
"inaug_JimmyCarter_1_29",3
"inaug_JimmyCarter_1_30",13
"inaug_JimmyCarter_1_31",13
"inaug_JimmyCarter_1_32",8
"inaug_JimmyCarter_1_33",8
"inaug_JimmyCarter_1_34",8
"inaug_JimmyCarter_1_35",8
"inaug_JimmyCarter_1_36",10
"inaug_JimmyCarter_1_37",3
"inaug_JimmyCarter_1_38",3
"inaug_JimmyCarter_1_39",3
"inaug_JimmyCarter_1_40",3
"inaug_JimmyCarter_1_41",8
"inaug_JimmyCarter_1_42",8
"inaug_JimmyCarter_1_43",8
"inaug_JimmyCarter_1_44",8
"inaug_JimmyCarter_1_45",15
"inaug_JimmyCarter_1_46",15
"inaug_JimmyCarter_1_47",3
"inaug_JimmyCarter_1_48",3
"inaug_JimmyCarter_1_49",3
"inaug_JimmyCarter_1_50",12
"inaug_JimmyCarter_1_51",12
"inaug_JimmyCarter_1_52",13
"inaug_JimmyCarter_1_53",11
"inaug_JimmyCarter_1_54",1
"inaug_JimmyCarter_1_55",11
"inaug_JimmyCarter_1_56",10
"inaug_JimmyCarter_1_57",1
"inaug_JimmyCarter_1_58",12
"inaug_JimmyCarter_1_59",6
"inaug_JimmyCarter_1_60",12
"inaug_WilliamJClinton_1_2",11
"inaug_WilliamJClinton_1_3",11
"inaug_WilliamJClinton_1_4",11
"inaug_WilliamJClinton_1_5",11
"inaug_WilliamJClinton_1_6",11
"inaug_WilliamJClinton_1_7",11
"inaug_WilliamJClinton_1_8",3
"inaug_WilliamJClinton_1_9",3
"inaug_WilliamJClinton_1_10",3
"inaug_WilliamJClinton_1_11",3
"inaug_WilliamJClinton_1_12",3
"inaug_WilliamJClinton_1_13",3
"inaug_WilliamJClinton_1_14",8
"inaug_WilliamJClinton_1_15",8
"inaug_WilliamJClinton_1_16",3
"inaug_WilliamJClinton_1_17",13
"inaug_WilliamJClinton_1_18",11
"inaug_WilliamJClinton_1_19",11
"inaug_WilliamJClinton_1_20",11
"inaug_WilliamJClinton_1_21",4
"inaug_WilliamJClinton_1_22",6
"inaug_WilliamJClinton_1_23",6
"inaug_WilliamJClinton_1_24",6
"inaug_WilliamJClinton_1_25",6
"inaug_WilliamJClinton_1_26",6
"inaug_WilliamJClinton_1_27",13
"inaug_WilliamJClinton_1_28",11
"inaug_WilliamJClinton_1_29",11
"inaug_WilliamJClinton_1_30",11
"inaug_WilliamJClinton_1_31",11
"inaug_WilliamJClinton_1_32",11
"inaug_WilliamJClinton_1_33",13
"inaug_WilliamJClinton_1_34",11
"inaug_WilliamJClinton_1_35",3
"inaug_WilliamJClinton_1_36",11
"inaug_WilliamJClinton_1_37",11
"inaug_WilliamJClinton_1_38",11
"inaug_WilliamJClinton_1_39",11
"inaug_WilliamJClinton_1_40",8
"inaug_WilliamJClinton_1_41",8
"inaug_WilliamJClinton_1_42",8
"inaug_WilliamJClinton_1_43",12
"inaug_WilliamJClinton_1_44",12
"inaug_WilliamJClinton_1_45",12
"inaug_WilliamJClinton_1_46",4
"inaug_WilliamJClinton_1_47",5
"inaug_WilliamJClinton_1_48",15
"inaug_WilliamJClinton_1_49",3
"inaug_WilliamJClinton_1_50",3
"inaug_WilliamJClinton_1_51",10
"inaug_WilliamJClinton_1_52",11
"inaug_WilliamJClinton_1_53",7
"inaug_WilliamJClinton_1_54",7
"inaug_WilliamJClinton_1_55",7
"inaug_WilliamJClinton_1_56",8
"inaug_WilliamJClinton_1_57",8
"inaug_WilliamJClinton_1_58",13
"inaug_WilliamJClinton_1_59",13
"inaug_WilliamJClinton_1_60",13
"inaug_WilliamJClinton_1_61",11
"inaug_WilliamJClinton_1_62",15
"inaug_WilliamJClinton_1_63",3
"inaug_WilliamJClinton_1_64",3
"inaug_WilliamJClinton_1_65",3
"inaug_WilliamJClinton_1_66",3
"inaug_WilliamJClinton_1_67",11
"inaug_WilliamJClinton_1_68",11
"inaug_WilliamJClinton_1_69",11
"inaug_WilliamJClinton_1_70",12
"inaug_WilliamJClinton_1_71",12
"inaug_WilliamJClinton_1_72",3
"inaug_WilliamJClinton_1_73",3
"inaug_WilliamJClinton_1_74",3
"inaug_WilliamJClinton_1_75",11
"inaug_WilliamJClinton_1_76",11
"inaug_WilliamJClinton_1_77",11
"inaug_WilliamJClinton_1_78",9
"inaug_WilliamJClinton_1_79",11
"inaug_WilliamJClinton_1_80",11
"inaug_WilliamJClinton_1_81",11
"inaug_WilliamJClinton_1_82",11
"inaug_WilliamJClinton_1_83",8
"inaug_WilliamJClinton_1_84",2
"inaug_WilliamJClinton_1_85",11
"inaug_WilliamJClinton_1_86",11
"inaug_WilliamJClinton_1_87",11
"inaug_WilliamJClinton_1_88",7
"inaug_WilliamJClinton_1_89",11
"inaug_WilliamJClinton_1_90",11
"inaug_WilliamJClinton_1_91",11
"inaug_WilliamJClinton_1_92",11
"inaug_WilliamJClinton_1_93",11
"inaug_WilliamJClinton_1_94",11
"inaug_WilliamJClinton_1_95",11
"inaug_WilliamJClinton_1_96",13
"inaug_WilliamJClinton_1_97",11
"inaug_WilliamJClinton_1_98",11
"inaug_WilliamJClinton_1_99",11
"inaug_WilliamJClinton_1_100",11
"inaug_WilliamJClinton_1_101",3
"inaug_BarackObama_1_2",11
"inaug_BarackObama_1_3",3
"inaug_BarackObama_1_4",11
"inaug_BarackObama_1_5",11
"inaug_BarackObama_1_6",11
"inaug_BarackObama_1_7",11
"inaug_BarackObama_1_8",6
"inaug_BarackObama_1_9",2
"inaug_BarackObama_1_10",13
"inaug_BarackObama_1_11",13
"inaug_BarackObama_1_12",2
"inaug_BarackObama_1_13",6
"inaug_BarackObama_1_14",3
"inaug_BarackObama_1_15",3
"inaug_BarackObama_1_16",3
"inaug_BarackObama_1_17",3
"inaug_BarackObama_1_18",11
"inaug_BarackObama_1_19",11
"inaug_BarackObama_1_20",11
"inaug_BarackObama_1_21",13
"inaug_BarackObama_1_22",13
"inaug_BarackObama_1_23",13
"inaug_BarackObama_1_24",13
"inaug_BarackObama_1_25",6
"inaug_BarackObama_1_26",13
"inaug_BarackObama_1_27",13
"inaug_BarackObama_1_28",10
"inaug_BarackObama_1_29",10
"inaug_BarackObama_1_30",3
"inaug_BarackObama_1_31",12
"inaug_BarackObama_1_32",3
"inaug_BarackObama_1_33",7
"inaug_BarackObama_1_34",7
"inaug_BarackObama_1_35",6
"inaug_BarackObama_1_36",2
"inaug_BarackObama_1_37",13
"inaug_BarackObama_1_38",5
"inaug_BarackObama_1_39",5
"inaug_BarackObama_1_40",5
"inaug_BarackObama_1_41",5
"inaug_BarackObama_1_42",13
"inaug_BarackObama_1_43",11
"inaug_BarackObama_1_44",11
"inaug_BarackObama_1_45",3
"inaug_BarackObama_1_46",3
"inaug_BarackObama_1_47",2
"inaug_BarackObama_1_48",13
"inaug_BarackObama_1_49",13
"inaug_BarackObama_1_50",13
"inaug_BarackObama_1_51",8
"inaug_BarackObama_1_52",6
"inaug_BarackObama_1_53",7
"inaug_BarackObama_1_54",7
"inaug_BarackObama_1_55",7
"inaug_BarackObama_1_56",7
"inaug_BarackObama_1_57",11
"inaug_BarackObama_1_58",1
"inaug_BarackObama_1_59",1
"inaug_BarackObama_1_60",1
"inaug_BarackObama_1_61",6
"inaug_BarackObama_1_62",12
"inaug_BarackObama_1_63",13
"inaug_BarackObama_1_64",4
"inaug_BarackObama_1_65",4
"inaug_BarackObama_1_66",11
"inaug_BarackObama_1_67",11
"inaug_BarackObama_1_68",11
"inaug_BarackObama_1_69",11
"inaug_BarackObama_1_70",11
"inaug_BarackObama_1_71",2
"inaug_BarackObama_1_72",8
"inaug_BarackObama_1_73",8
"inaug_BarackObama_1_74",8
"inaug_BarackObama_1_75",13
"inaug_BarackObama_1_76",12
"inaug_BarackObama_1_77",12
"inaug_BarackObama_1_78",12
"inaug_BarackObama_1_79",3
"inaug_BarackObama_1_80",12
"inaug_BarackObama_1_81",13
"inaug_BarackObama_1_82",13
"inaug_BarackObama_1_83",4
"inaug_BarackObama_1_84",3
"inaug_BarackObama_1_85",3
"inaug_BarackObama_1_86",12
"inaug_BarackObama_1_87",13
"inaug_BarackObama_1_88",8
"inaug_BarackObama_1_89",8
"inaug_BarackObama_1_90",11
"inaug_BarackObama_1_91",11
"inaug_BarackObama_1_92",11
"inaug_BarackObama_1_93",11
"inaug_BarackObama_1_94",11
"inaug_BarackObama_1_95",11
"inaug_BarackObama_1_96",11
"inaug_BarackObama_1_97",11
"inaug_BarackObama_1_98",11
"inaug_BarackObama_1_99",11
"inaug_BarackObama_1_100",7
"inaug_BarackObama_1_101",7
"inaug_BarackObama_1_102",7
"inaug_BarackObama_1_103",3
"inaug_BarackObama_1_104",11
"inaug_BarackObama_1_105",3
"inaug_BarackObama_1_106",11
"inaug_BarackObama_1_107",5
"inaug_BarackObama_1_108",3
"inaug_BarackObama_1_109",3
"inaug_BarackObama_1_110",7
"inaug_BarackObama_1_111",4
"inaug_BarackObama_1_112",8
"inaug_BarackObama_1_113",13
"inaug_BarackObama_1_114",13
"inaug_BarackObama_1_116",13
"inaug_BarackObama_1_118",13
"inaug_BarackObama_1_119",11
"inaug_BarackObama_1_120",11
"inaug_BarackObama_1_121",11
"inaug_BarackObama_1_122",13
"inaug_BarackObama_1_123",3
"inaug_BarackObama_1_124",13
